ꢦꢾꢱꢵꢮ꣄ (ꢒꢜ꣄ꢜꢶꢜꢪ)꣄,प॑साव (कट्टिटम) रुन्ति (तुणि),பெஸாவ்(கட்டிடம்),breadth,அகலம்  
ꢬꢸꢥ꣄ꢡꢶ (ꢡꢸꢠꢶ),प॑साव (कट्टिटम) रुन्ति (तुणि),ருந்தி(துணி),breadth,அகலம்  
ꢨꣂꢜ꣄,बा॑ट्,போ3ட்,inch,அங்குலம்  
ꢂꢞꢶ,अडि,அடி3,foot,அடி  
ꢪꣂꢦꢸ,मोवु,மோவு,measurement,அளவு  
ꢪꣂꢦꢸ ꢓꢜ꣄ꢜꢶ,मोवुखट्टि,மோவுக2ட்டி,scale,அளவு கோல்  
ꢂꢬꣁ,अरा॑,அரொ,radius,ஆரம்  
ꢥꢶꢪ꣄ꢥꣁ,निम्ना॑,நிம்னொ,depth,ஆழம்  
ꢭꣁꢡ꣄,लोत,லோத்,depth,ஆழம்  
ꢂꢜ꣄ꢥꣁ,अट्ना॑,அட்னொ,1/8 of a standard measurment,ஆழாக்கு  
ꢲꢡ꣄ꢣꢞ꣄ꢞꣁ,हत्दड्डा॑,ஹத்த3ட்3டொ3,half measure,உரி  
ꢒꢵꢭꢞ꣄ꢞꣁ,कालड्डा॑,காலட்3டொ3,1/4 of a measure,உழக்கு  
ꢱꣂꢮꢸ,चोवु,சோவு,1/4 of a measure,உழக்கு  
ꢩꢵꢬ꣄ꢪꣂꢮꢸ,भार्मोवु,பா4ர்மோவு,measurement of weighing,நிறுத்தல் அளவை   
ꢙꣂꢒ꣄,जोक,ஜோக்,weight,எடை  
ꢪꣁꢮ꣄ꢙꢥ꣄ꢪꣂꢮꢸ,मा॑व्जन्मोवु,மொவ்ஜன்மோவு,measurement of counting,எண்ணல் அளவை   
ꢆꢦꢒꢬꢠꣁ,उपकरणा॑,உபகரணொ,instrument,கருவி  
ꢔꢥꢪꣂꢦꢸ,गनमोपु,க3னமோவு,cubic measurement,கன அளவு   
ꢩꢵꢬ꣄,भार्,பா4ர்,heavyness,கனம்  
ꢔꢾꢙ꣄ꢙꢸ,ग॑ज्जु,கெ3ஜ்ஜு,yard,கஜம்  
ꢂꢮ꣄ꢞ ꢪꣂꢮꢸ,अव्डमोवु,அவ்ட3மோவு,cross-section measurement,குறுக்களவு  
ꢗꢡ꣄ꢬꢸꢭ꣄ ꢪꣂꢮꢸ,चत्रुल्मोपु,சத்ருல்மோவு,square measurement,சதுர அளவு   
ꢙꢵꢠ꣄,जाण्,ஜாண்,six inches or little more covering the tip of the stretched thumb to the tip of the stretched little finger,சாண்  
ꢗꢶꢪ꣄ꢜꣁ,चिटा॑,சிம்டொ,a pinch,சிட்டிகை  
ꢦꢬꢶꢡꢶ,परिति,பரிதி,perimeter,சுற்றளவு  
ꢒꢸꢠ꣄ꢮꢫ ꢪꣂꢮꢸ,कुण्वयमोवु,குண்வயமோவு,perimeter,சுற்றளவு  
ꢡꢸꢭꣁ,तुला॑,துலொ,balance,தராசு  
ꢥꢬꢵꢙꢶ,नराजि,நராஜி,balance,தராசு  
ꢒꢸꢜ꣄ꢒꣁ,कुट्का॑,குட்கொ,piece,துண்டு  
ꢨꢶꢥ꣄ꢣꢸ,बिन्दु,பி3ந்து3,drop,துளி  
ꢡꣁꢭꣁ,ता॑ळा॑,தோலொ,a weight of 10 grams,தோலா  
ꢥꢵꢳꢶ,नाळि,நாளி,approximately little more than half litre,நாழி  
ꢩꢵꢬ꣄ ꢪꣂꢮꢸ,भार्मोवु,பா4ர் மோவு,Measurement of weight,நிறுத்தல் அளவை
ꢭꢵꢪ꣄ ꢪꣂꢮꢶ,लाम्मोवु,லாம்மோவு,linear measurement,நீட்டல் அளவை   
ꢪꢹꢬꣁ,मूरा॑,மூரொ,length,நீளம்  
ꢂꢞ꣄ꢞꣁ,अड्डा॑,அட்3டொ3,a little more than 2 litres,"பக்கா, "
ꢮꢜꣁ,वटू,வடொ,portion,பகுதி  
ꢂꢞ꣄ꢞꣁ,अड्डा॑,அட்3டொ3,approximately 1 litre,படி
ꢥꢾꢬ꣄ꢦꢾꢪꣂꢮꢸ,न॑र्प॑मोवु,நெர்பெமோவு,area (in square),பரப்பளவு  
ꢦꢭꢪ꣄,पलम,பலம்,a measurement of weight,பலம்  
ꢂꢣ꣄ꢣꢾ,हद्दे,ஹத்3தெ3,half,பாதி  
ꢪꢹꢣ꣄,मूड्,மூட்3,a handfull,பிடி  
ꢪꢹꢞ꣄ꢩꣂꢬ꣄,मूड्बोऱ,மூட்3போ4ர்,a handfull,பிடி  
ꢪꢬꢒ꣄ꢒꢵꢭ꣄,मरक्काल,மரக்கால்,a measure of approximately 5 to 8 litres,மரக்கால்  
ꢪꢹꢬꣁ,मूरा॑,மூரொ,one arm length,மாறு  
ꢪꢷꢜ꣄ꢜꢬ꣄,मीट्टर्,மீட்டர்,meter,மீட்டர்  
ꢪꢶꢛ꣄ꢗꢶ ꢪꣁꢮꢸ,मिञ्चिमोवु,மிஞ்சிமோவு,a measuere of capacity,முகத்தல் அளவை   
ꢪꣁꢳꢪꢸ (ꢓꢜ꣄ꢜꢶ) ꢮꢳ꣄꣄ꢜꢶ,मा॑ळमु (खट्टि) वळ्टि,மொளமு (க2ட்டி) வள்டி,measuring rod,முழக் கோல்   
ꢪꢹꢬꢵ ꢒꢮ꣄ꢠ꣄ꢞꢶ,मूरा कव्ण्डि,மூரா கவ்ண்டி3,measuring rod,முழக் கோல்   
ꢪꣁꢳꢪ꣄,मा॑ळम,மொளம்,half an arm`s length,முழம்  
ꢲꢵꢡ꣄,हात,ஹாத்,half an arm`s length,முழம்  
ꢂꢮ꣄ꢞꢵꢪꣁꢮꢸ,अव्डामोवु,அவ்டா3மோவு,diameter,விட்டம்  
ꢮ꣄ꢫꢵꢱ꣄,व्यास,வ்யாஸ்,diameter,விட்டம்  
