ꢙꢾꢭ꣄ꢪꢶꢥ꣄,ज॑ल्मिन,ஜெல்மின்,je'lmin,jElmin,jĕlmin,d͡ʒelmɪn̪,aluminium,அலுமினியம்  
ꢭꢴꣁꢔꢠ꣄,ल्हा॑गण्,லொ:க3ண்,lho'gan,lhOgaN,lhŏgaṇ,lɦogəɳ,iron,இரும்பு  / உருக்கு  
ꢒꢾꢱ꣄ꢡꢸꢭ꣄,क॑स्तुल्,கெஸ்துல்,ke'stul,kEstul,kĕstul,kes̪t̪ul,lead,"ஈயம், காரீயம் "
ꢭꣂꢲꢸ,लोहु,லோஹு,lohu,lohu,lohu,loːɦu,metal,உலோகம்  
ꢦꢛ꣄ꢗꢭꣂꢲꢸ,पञ्चलोहु,பஞ்சலோஹு,panchalohu,paJcalohu,pañcalohu,pəɲt͡ʃəloːɦu,"an alloy of iron, gold, silver, brass and copper",ஐம்பொன் பஞ்சலோகம்  
ꢂꢣ꣄ꢣꢪ꣄,अद्दम्,அத்3த3ம்,addam,addam,addam,əd̪d̪əm,glass,கண்ணாடி  
ꢲꢦꢵꢥ꣄,हपाळ,ஹபாள்,hapaan,hapAn,hapān,ɦəpɑːn̪,glass,கண்ணாடி  
ꢣꢮ꣄ꢥꣁ,दव्ना॑,த3வ்னொ,davno',davnO,davnŏ,d̪əʋn̪o,glass,கண்ணாடி  
ꢪꢸꢒ꣄ꢬꣁ,मुक्रा॑,முக்ரொ,mukro',mukrO,mukrŏ,mukɾo,glass,கண்ணாடி  
ꢔꢵꢥ꣄ꢡꢪ꣄,गान्तम्,கா3ந்தம்,gaantam,gAntam,gāntam,gɑːn̪t̪əm,magnet,காந்தம்  
ꢡꢪ꣄ꢨꢾ,तम्ब॑,தம்பெ3,tambe',tambE,tambĕ,t̪əmbe,copper,செம்பு  
ꢡꢪ꣄ꢨꢸꢬꢪ꣄,तम्बुरम्,தம்பு3ரம்,tamburam,tamburam,tamburam,t̪əmbuɾəm,copper,செம்பு  
ꢡꢭ꣄,तव,தவ்,tal,tal,tal,t̪əl,tin,தகரம்  
ꢡꢾꢒꢜ꣄,त॑कट्,தெக3ட்,te'kat',tEkaT,tĕkaṭ,t̪ekəʈ,tin,தகரம்  
ꢱꣁꢥ꣄ꢥꣁ,सा॑न्ना॑,ஸொன்னொ,so'nno',sOnnO,sŏnnŏ,s̪on̪n̪o,gold,தங்கம்  
ꢱꣁꢬ꣄ꢠꢸ,सा॑र्णु,ஸொர்ணு,so'rnu,sOrNu,sŏrṇu,s̪oɾɳu,gold,தங்கம்  
ꢂꢦ꣄ꢬꢛ꣄ꢙꢶ,अप्रञ्जि,அப்ரஞ்ஜி,apranji,apraJji,aprañji,əpɾəɲd͡ʒɪ,gold,தங்கம்  
ꢡꢸꢡ꣄ꢡꢥꢵꢔ꣄,तुत्तनाग,துத்தநாக்3,tuttanaag,tuttanAg,tuttanāg,t̪ut̪t̪ən̪ɑːg,zinc,துத்தநாகம்  
ꢥꢵꢔ꣄,नाग,நாக்3,naag,nAg,nāg,n̪ɑːg,zinc,நாகம்  
ꢭꢷꢡꢸ,लीतु,லீது,leetu,lItu,lītu,liːt̪u,brass,பித்தளை  
ꢒꢱꣁ,कसा॑,கஸொ,kaso',kasO,kasŏ,kəs̪o,bronze,வெண்கலம்  
ꢬꢸꢦ꣄ꢦꣁ,रुप्पा॑,ருப்பொ,ruppo',ruppO,ruppŏ,ɾuppo,silver,வெள்ளி  
